RespondentID,dCountry,Country_ISO,Q45B,Q55,Q6,Q21_Gender,Q21_Age,Q30,Q31,Q42,Q62,WEIGHT,mainpropsec_web,mainpropdoc_web,reason_1_web,reason_2_web,reason_3_web,reason_4_web,reason_5_web,reason_6_web,reason_7_web,ISO_Alpha_2_code,ISO_Alpha_3_code,ISO_Numeric
1.00039E+13,39,PSE,0,3,1,1,2,1,1,3,1,1.334900635,0,3,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,1,2,1,1,2,0,1.849081381,0,3,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,2,4,2,3,0,1.397041641,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,1,2,1,1,1,1,1.334900635,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,3,1,1,2,1,2,3,1,1.334900635,0,3,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,3,2,2,1,1,0.273869812,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,2,1,2,3,4,1,2,1,0.547739623,0,2,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,3,4,3,3,0,0.264123269,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,1,1,3,1,3,1,2.641232694,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,2,1,2,3,1,0.480274448,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,1,3,4,2,1,0,0.297449749,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,2,4,1,3,1,1.482052494,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,1,1,1,2,2,3,1,2,1,0.360130974,1,1,1,2,2,2,1,2,2,PS,PSE,275
1.00039E+13,39,PSE,1,3,1,2,1,1,1,3,1,1.122031676,1,3,1,1,2,2,2,2,2,PS,PSE,275
1.00039E+13,39,PSE,0,3,1,2,2,2,2,1,1,0.796756572,0,3,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,2,4,1,1,0,0.953935598,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,1,4,1,3,1,2.384838995,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,1,3,1,1,1,1,1.43950279,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,3,1,2,2,4,1,3,1,0.74087224,0,3,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,1,2,4,1,1,1,0.973535245,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,2,4,1,3,1,1.015875726,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,3,4,1,2,1,0.547739623,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,1,1,1,2,2,4,1,1,1,1.852180599,1,1,5,1,1,2,2,2,2,PS,PSE,275
1.00039E+13,39,PSE,0,3,1,1,3,4,2,999,999,0.498493621,0,3,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,2,1,2,1,1,0.456103949,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,1,3,4,2,1,1,0.446271541,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,1,1,1,1,1,4,1,1,0,1.110931584,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,1,2,1,2,2,4,1,1,1,0.74087224,1,2,5,1,1,2,2,2,2,PS,PSE,275
1.00039E+13,39,PSE,1,1,1,2,2,4,1,2,1,0.398378286,1,1,1,2,2,2,2,2,2,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,1,2,4,1,1,1,0.315549751,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,1,3,1,2,1,1,0.433856733,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,3,4,1,3,1,0.509427159,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,3,4,3,1,1,1.164201368,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,2,4,1,1,1,0.900327436,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,3,1,2,1,4,3,999,1,1.907871196,0,3,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,2,4,2,3,0,0.329273475,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,1,1,4,1,3,1,0.888745267,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,1,1,1,1,1,1,2,3,0,2.211590589,1,1,2,2,2,2,2,2,2,PS,PSE,275
1.00039E+13,39,PSE,0,3,1,1,2,2,1,1,1,1.334900635,0,3,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,1,1,1,1,2,2,1,3,1,1.14508504,1,1,2,2,2,2,1,2,2,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,1,4,1,3,1,2.384838995,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,1,3,4,1,1,0,0.594899498,0,2,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,1,3,1,3,0,0.69554858,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,1,2,3,1,3,1,2.641232694,0,1,5,5,5,5,5,5,5,PS,PSE,275
1.00039E+13,39,PSE,1,1,1,2,1,4,1,3,1,2.087098998,1,1,2,1,2,2,1,2,2,PS,PSE,275
1.00039E+13,39,PSE,0,1,1,2,1,4,1,3,1,0.69554858,0,1,5,5,5,5,5,5,5,PS,PSE,275
